x,y,degrees,total_pmt,total_created,total_created_measured
-2.8000000000000003,-1.2000000000000002,30.886957390984595,643.0999999999999,8068.0,8043.759953133504
-2.8000000000000003,-1.0,29.893419343495818,623.1,8079.3,8052.632468634857
-2.8000000000000003,-0.8,29.14950465467765,612.4,8077.4,8116.33051162254
-2.8000000000000003,-0.6000000000000001,28.609853174435052,605.5,8083.1,8176.251456229107
-2.8000000000000003,-0.4,28.243749738469674,589.0,8078.6,8056.541734305036
-2.8000000000000003,-0.2,28.031432859873412,586.0,8069.5,8076.218111045986
-2.8000000000000003,0.0,27.961846691894024,583.3,8099.8,8059.012830615854
-2.8000000000000003,0.2,28.031432859873412,586.9,8095.5,8088.621858998104
-2.8000000000000003,0.4,28.243749738469674,596.5,8098.0,8159.129277611128
-2.8000000000000003,0.6000000000000001,28.609853174435056,610.2,8087.9,8239.716991892652
-2.8000000000000003,0.8,29.14950465467765,614.6,8082.7,8145.487806079709
-2.8000000000000003,1.0,29.893419343495818,631.1,8067.4,8156.020463738498
-2.8000000000000003,1.2000000000000002,30.8869573909846,653.5,8081.6,8173.840972434684
-2.8000000000000003,1.4000000000000001,32.195926726324615,678.8,8061.3,8145.103820309455
-2.8000000000000003,1.6,33.91550580270445,715.9000000000001,8070.2,8154.733732952565
-2.8000000000000003,1.8,36.18356100525706,760.6,8095.5,8120.8359320223835
-2.8000000000000003,2.0,39.19904665222124,831.1,8075.6,8190.935357770623
-2.8000000000000003,2.2,43.24162264561305,926.4,8089.2,8276.606064247055
-2.8000000000000003,2.4000000000000004,48.66929869685561,1046.4,8078.7,8306.123109052072
-2.8000000000000003,2.6,55.80659396507443,1205.8,8091.0,8347.289644682834
-2.8000000000000003,2.8000000000000003,64.48404040187096,1392.6000000000001,8089.9,8343.146517056717
-2.8000000000000003,3.0,72.86621861022547,1580.5,8082.7,8379.613519825305
-2.6,-3.0,58.559610800729054,1220.9,8078.2,8054.482330359264
-2.6,-2.8000000000000003,55.80659396507443,1171.1,8099.7,8107.074890436282
-2.6,-2.6,51.260904043690516,1084.7,8083.5,8174.836963790718
-2.6,-2.4000000000000004,46.62881925895641,976.8,8066.2,8092.951796290519
-2.6,-2.2,42.588903902962834,903.0,8081.1,8191.190162705713
-2.6,-2.0,39.28652732878934,829.5,8097.4,8156.962573813499
-2.6,-1.8,36.65992816247251,775.8,8093.2,8175.491788960525
-2.6,-1.6,34.593868685664994,729.5999999999999,8092.8,8147.819769360988
-2.6,-1.4000000000000001,32.97703158739516,686.5,8079.7,8042.382089208491
-2.6,-1.2000000000000002,31.71806547055731,660.3000000000001,8072.0,8042.486250048119
-2.6,-1.0,30.746744312559684,635.1999999999999,8093.3,7981.179422025642
-2.6,-0.8,30.01085015930628,628.1999999999999,8083.3,8086.774903319446
-2.6,-0.6000000000000001,29.472525603149855,615.8,8088.2,8071.942358289868
-2.6,-0.4,29.105219350667266,615.9,8084.5,8175.137170888626
-2.6,-0.2,28.89143850675763,601.7,8090.3,8045.750605203166
-2.6,0.0,28.821251295693973,603.7,8074.8,8092.152614448055
-2.6,0.2,28.89143850675763,605.8000000000001,8075.5,8100.574566448526
-2.6,0.4,29.105219350667266,608.6,8089.1,8078.240756945638
-2.6,0.6000000000000001,29.472525603149855,618.8000000000001,8086.5,8111.266533468286
-2.6,0.8,30.01085015930628,636.5999999999999,8071.3,8194.907519027634
-2.6,1.0,30.746744312559684,650.5999999999999,8072.9,8174.67778962513
-2.6,1.2000000000000002,31.71806547055731,664.9,8070.0,8098.514474719057
-2.6,1.4000000000000001,32.97703158739517,697.0,8086.9,8165.390118249552
-2.6,1.6,34.593868685664994,730.5,8084.0,8157.870533879117
-2.6,1.8,36.65992816247251,766.6,8076.0,8078.54086802931
-2.6,2.0,39.28652732878934,831.0,8074.2,8171.712958214608
-2.6,2.2,42.588903902962834,910.1,8083.7,8255.594869411374
-2.6,2.4000000000000004,46.62881925895641,997.1,8072.6,8261.140700328908
-2.6,2.6,51.260904043690516,1113.3000000000002,8096.9,8390.380742867343
-2.6,2.8000000000000003,55.80659396507443,1206.3000000000002,8079.8,8350.750952380913
-2.6,3.0,58.559610800729054,1273.1000000000001,8082.3,8398.85449650289
-2.4000000000000004,-3.0,48.93909572126325,1019.1999999999999,8095.7,8045.614052508913
-2.4000000000000004,-2.8000000000000003,48.669298696855606,1009.4,8095.9,8012.424184133374
-2.4000000000000004,-2.6,46.62881925895627,974.5,8099.5,8073.895910611318
-2.4000000000000004,-2.4000000000000004,43.91360217280308,926.4000000000001,8075.3,8149.954877493914
-2.4000000000000004,-2.2,41.16911393363015,871.0000000000001,8084.1,8173.392520955619
-2.4000000000000004,-2.0,38.691807946525415,821.5,8086.6,8202.46272342566
-2.4000000000000004,-1.8,36.57740941155644,774.3,8074.9,8178.092847706781
-2.4000000000000004,-1.6,34.82667802087297,731.9,8091.0,8118.866819724535
-2.4000000000000004,-1.4000000000000001,33.403875699434344,693.6,8084.4,8021.728270981827
-2.4000000000000004,-1.2000000000000002,32.264533786804904,668.2,8075.4,8000.862342065294
-2.4000000000000004,-1.0,31.367015575518085,654.9000000000001,8082.4,8065.986891496633
-2.4000000000000004,-0.8,30.676486996352654,650.9,8091.8,8197.1780582646
-2.4000000000000004,-0.6000000000000001,30.165668506875214,638.3,8089.4,8174.620710424855
-2.4000000000000004,-0.4,29.814405895543693,625.8000000000001,8095.4,8108.959290846697
