x,y,degrees,total_pmt,total_created,total_created_measured
-2.8000000000000003,1.2000000000000002,30.8869573909846,653.5,8081.6,7616.807218074144
-2.8000000000000003,1.4000000000000001,32.195926726324615,678.8,8061.3,7590.02845537586
-2.8000000000000003,1.6,33.91550580270445,715.9000000000001,8070.2,7599.002105386526
-2.8000000000000003,1.8,36.18356100525706,760.6,8095.5,7567.414383570971
-2.8000000000000003,2.0,39.19904665222124,831.1,8075.6,7632.736649299247
-2.8000000000000003,2.2,43.24162264561305,926.4,8089.2,7712.569038706846
-2.8000000000000003,2.4000000000000004,48.66929869685561,1046.4,8078.7,7740.074545687625
-2.8000000000000003,2.6,55.80659396507443,1205.8,8091.0,7778.435649946066
-2.8000000000000003,2.8000000000000003,64.48404040187096,1392.6000000000001,8089.9,7774.574869620827
-2.8000000000000003,3.0,72.86621861022547,1580.5,8082.7,7808.5567064153065
-2.6,-3.0,58.559610800729054,1220.9,8078.2,7505.5826702066815
-2.6,-2.8000000000000003,55.80659396507443,1171.1,8099.7,7554.591134227766
-2.6,-2.6,51.260904043690516,1084.7,8083.5,7617.735334265218
-2.6,-2.4000000000000004,46.62881925895641,976.8,8066.2,7541.43050560852
-2.6,-2.2,42.588903902962834,903.0,8081.1,7632.974089699095
-2.6,-2.0,39.28652732878934,829.5,8097.4,7601.07905442612
-2.6,-1.8,36.65992816247251,775.8,8093.2,7618.345534181852
-2.6,-1.6,34.593868685664994,729.5999999999999,8092.8,7592.559316987849
-2.6,-1.4000000000000001,32.97703158739516,686.5,8079.7,7494.307040493741
-2.6,-1.2000000000000002,31.71806547055731,660.3000000000001,8072.0,7494.404102944281
-2.6,-1.0,30.746744312559684,635.1999999999999,8093.3,7437.275233937213
-2.6,-0.8,30.01085015930628,628.1999999999999,8083.3,7535.6745576856265
-2.6,-0.6000000000000001,29.472525603149855,615.8,8088.2,7521.852826087875
-2.6,-0.4,29.105219350667266,615.9,8084.5,7618.015082745519
-2.6,-0.2,28.89143850675763,601.7,8090.3,7497.4459976901135
-2.6,0.0,28.821251295693973,603.7,8074.8,7540.685786687909
-2.6,0.2,28.89143850675763,605.8000000000001,8075.5,7548.533796577482
-2.6,0.4,29.105219350667266,608.6,8089.1,7527.72199928385
-2.6,0.6000000000000001,29.472525603149855,618.8000000000001,8086.5,7558.497123714156
-2.6,0.8,30.01085015930628,636.5999999999999,8071.3,7636.438114330898
-2.6,1.0,30.746744312559684,650.5999999999999,8072.9,7617.587007555967
-2.6,1.2000000000000002,31.71806547055731,664.9,8070.0,7546.614096694914
-2.6,1.4000000000000001,32.97703158739517,697.0,8086.9,7608.932275636032
-2.6,1.6,34.593868685664994,730.5,8084.0,7601.925138513741
-2.6,1.8,36.65992816247251,766.6,8076.0,7528.001658293128
-2.6,2.0,39.28652732878934,831.0,8074.2,7614.824224506457
-2.6,2.2,42.588903902962834,910.1,8083.7,7692.989722076574
-2.6,2.4000000000000004,46.62881925895641,997.1,8072.6,7698.157613781998
-2.6,2.6,51.260904043690516,1113.3000000000002,8096.9,7818.590161000708
-2.6,2.8000000000000003,55.80659396507443,1206.3000000000002,8079.8,7781.661075244603
-2.6,3.0,58.559610800729054,1273.1000000000001,8082.3,7826.486442329533
-2.4000000000000004,-3.0,48.93909572126325,1019.1999999999999,8095.7,7497.31875083631
-2.4000000000000004,-2.8000000000000003,48.669298696855606,1009.4,8095.9,7466.390717141713
-2.4000000000000004,-2.6,46.62881925895627,974.5,8099.5,7523.673247047017
-2.4000000000000004,-2.4000000000000004,43.91360217280308,926.4000000000001,8075.3,7594.548921029949
-2.4000000000000004,-2.2,41.16911393363015,871.0000000000001,8084.1,7616.389327822277
-2.4000000000000004,-2.0,38.691807946525415,821.5,8086.6,7643.478444034765
-2.4000000000000004,-1.8,36.57740941155644,774.3,8074.9,7620.769335073003
-2.4000000000000004,-1.6,34.82667802087297,731.9,8091.0,7565.579463022109
-2.4000000000000004,-1.4000000000000001,33.403875699434344,693.6,8084.4,7475.060745847175
-2.4000000000000004,-1.2000000000000002,32.264533786804904,668.2,8075.4,7455.6167955037245
-2.4000000000000004,-1.0,31.367015575518085,654.9000000000001,8082.4,7516.3032145147245
-2.4000000000000004,-0.8,30.676486996352654,650.9,8091.8,7638.55392007111
-2.4000000000000004,-0.6000000000000001,30.165668506875214,638.3,8089.4,7617.533818208863
